state_fips,county_fips,year,population,name
10,001,2000,126697,"Kent County, Delaware"
10,003,2000,500265,"New Castle County, Delaware"
10,005,2000,156638,"Sussex County, Delaware"
10,001,2010,162990,"Kent County, Delaware"
10,001,2011,165258,"Kent County, Delaware"
10,001,2012,167605,"Kent County, Delaware"
10,001,2013,169457,"Kent County, Delaware"
10,001,2014,171949,"Kent County, Delaware"
10,001,2015,173533,"Kent County, Delaware"
10,001,2016,174827,"Kent County, Delaware"
10,003,2010,538934,"New Castle County, Delaware"
10,003,2011,542308,"New Castle County, Delaware"
10,003,2012,546041,"New Castle County, Delaware"
10,003,2013,549521,"New Castle County, Delaware"
10,003,2014,552271,"New Castle County, Delaware"
10,003,2015,555167,"New Castle County, Delaware"
10,003,2016,556987,"New Castle County, Delaware"
10,005,2010,197892,"Sussex County, Delaware"
10,005,2011,200358,"Sussex County, Delaware"
10,005,2012,203347,"Sussex County, Delaware"
10,005,2013,206417,"Sussex County, Delaware"
10,005,2014,210728,"Sussex County, Delaware"
10,005,2015,215376,"Sussex County, Delaware"
10,005,2016,220251,"Sussex County, Delaware"
11,001,2000,572059,"District of Columbia, District of Columbia"
11,001,2010,605183,"District of Columbia, District of Columbia"
11,001,2011,620477,"District of Columbia, District of Columbia"
11,001,2012,635327,"District of Columbia, District of Columbia"
11,001,2013,649165,"District of Columbia, District of Columbia"
11,001,2014,659005,"District of Columbia, District of Columbia"
11,001,2015,670377,"District of Columbia, District of Columbia"
11,001,2016,681170,"District of Columbia, District of Columbia"
12,001,2000,217955,"Alachua County, Florida"
12,003,2000,22259,"Baker County, Florida"
12,005,2000,148217,"Bay County, Florida"
12,007,2000,26088,"Bradford County, Florida"
12,009,2000,476230,"Brevard County, Florida"
12,011,2000,1623018,"Broward County, Florida"
12,013,2000,13017,"Calhoun County, Florida"
12,015,2000,141627,"Charlotte County, Florida"
12,017,2000,118085,"Citrus County, Florida"
12,019,2000,140814,"Clay County, Florida"
12,021,2000,251377,"Collier County, Florida"
12,023,2000,56513,"Columbia County, Florida"
12,027,2000,32209,"DeSoto County, Florida"
12,029,2000,13827,"Dixie County, Florida"
12,031,2000,778879,"Duval County, Florida"
12,033,2000,294410,"Escambia County, Florida"
12,035,2000,49832,"Flagler County, Florida"
12,037,2000,11057,"Franklin County, Florida"
12,039,2000,45087,"Gadsden County, Florida"
12,041,2000,14437,"Gilchrist County, Florida"
12,043,2000,10576,"Glades County, Florida"
12,045,2000,13332,"Gulf County, Florida"
12,047,2000,13327,"Hamilton County, Florida"
12,049,2000,26938,"Hardee County, Florida"
12,051,2000,36210,"Hendry County, Florida"
12,053,2000,130802,"Hernando County, Florida"
