state_fips,year,population,name
01,2000,4447100,Alabama
02,2000,626932,Alaska
04,2000,5130632,Arizona
05,2000,2673400,Arkansas
06,2000,33871648,California
08,2000,4301261,Colorado
09,2000,3405565,Connecticut
10,2000,783600,Delaware
11,2000,572059,District of Columbia
12,2000,15982378,Florida
13,2000,8186453,Georgia
15,2000,1211537,Hawaii
16,2000,1293953,Idaho
17,2000,12419293,Illinois
18,2000,6080485,Indiana
19,2000,2926324,Iowa
20,2000,2688418,Kansas
21,2000,4041769,Kentucky
22,2000,4468976,Louisiana
23,2000,1274923,Maine
24,2000,5296486,Maryland
25,2000,6349097,Massachusetts
26,2000,9938444,Michigan
27,2000,4919479,Minnesota
28,2000,2844658,Mississippi
29,2000,5595211,Missouri
30,2000,902195,Montana
31,2000,1711263,Nebraska
32,2000,1998257,Nevada
33,2000,1235786,New Hampshire
34,2000,8414350,New Jersey
35,2000,1819046,New Mexico
36,2000,18976457,New York
37,2000,8049313,North Carolina
38,2000,642200,North Dakota
39,2000,11353140,Ohio
40,2000,3450654,Oklahoma
41,2000,3421399,Oregon
42,2000,12281054,Pennsylvania
44,2000,1048319,Rhode Island
45,2000,4012012,South Carolina
46,2000,754844,South Dakota
47,2000,5689283,Tennessee
48,2000,20851820,Texas
49,2000,2233169,Utah
50,2000,608827,Vermont
51,2000,7078515,Virginia
53,2000,5894121,Washington
54,2000,1808344,West Virginia
55,2000,5363675,Wisconsin
56,2000,493782,Wyoming
72,2000,3808610,Puerto Rico
02,2012,731089,Alaska
02,2013,736879,Alaska
02,2014,736705,Alaska
02,2015,737709,Alaska
02,2016,741894,Alaska
04,2010,6408312,Arizona
04,2011,6467163,Arizona
04,2012,6549634,Arizona
04,2013,6624617,Arizona
04,2014,6719993,Arizona
04,2015,6817565,Arizona
04,2016,6931071,Arizona
05,2010,2921995,Arkansas
05,2011,2939493,Arkansas
05,2012,2950685,Arkansas
05,2013,2958663,Arkansas
05,2014,2966912,Arkansas
05,2015,2977853,Arkansas
05,2016,2988248,Arkansas
06,2010,37332685,California
06,2011,37676861,California
06,2012,38011074,California
06,2013,38335203,California
06,2014,38680810,California
06,2015,38993940,California
06,2016,39250017,California
08,2010,5048644,Colorado
08,2011,5118360,Colorado
08,2012,5189867,Colorado
08,2013,5267603,Colorado
08,2014,5349648,Colorado
08,2015,5448819,Colorado
08,2016,5540545,Colorado
09,2010,3579899,Connecticut
09,2011,3589893,Connecticut
09,2012,3593795,Connecticut
09,2013,3596003,Connecticut
09,2014,3591873,Connecticut
09,2015,3584730,Connecticut
09,2016,3576452,Connecticut
10,2010,899816,Delaware
10,2011,907924,Delaware
10,2012,916993,Delaware
10,2013,925395,Delaware
10,2014,934948,Delaware
10,2015,944076,Delaware
10,2016,952065,Delaware
11,2010,605183,District of Columbia
11,2011,620477,District of Columbia
11,2012,635327,District of Columbia
11,2013,649165,District of Columbia
11,2014,659005,District of Columbia
11,2015,670377,District of Columbia
11,2016,681170,District of Columbia
12,2010,18849098,Florida
12,2011,19096952,Florida
12,2012,19344156,Florida
12,2013,19582022,Florida
12,2014,19888741,Florida
12,2015,20244914,Florida
12,2016,20612439,Florida
13,2010,9713521,Georgia
13,2011,9811610,Georgia
13,2012,9914668,Georgia
13,2013,9984938,Georgia
13,2014,10087231,Georgia
13,2015,10199398,Georgia
13,2016,10310371,Georgia
15,2010,1363945,Hawaii
15,2011,1377864,Hawaii
15,2012,1391820,Hawaii
15,2013,1406481,Hawaii
15,2014,1416349,Hawaii
15,2015,1425157,Hawaii
15,2016,1428557,Hawaii
